/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:197, loss:1.7799547910690308                                      
step:198, loss:1.874934196472168                                       
 20%|█▉        | 199/1000 [16:18<24:26,  1.83s/it, step=198, loss=1.87]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.4896097715736041
acc 0.2784739847715736
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.4840858623242043
acc 0.2744263508512213
average testing 0.4840858623242043
average training 0.4896097715736041
step:199, loss:1.9149103164672852                                      
step:200, loss:1.7357350587844849                                         
step:201, loss:1.7866714000701904                                         
step:202, loss:1.8997882604599                                           
step:203, loss:1.6949942111968994                                        
step:204, loss:1.7877858877182007                                        
step:205, loss:1.7684708833694458                                        
step:206, loss:1.9175703525543213                                        
step:207, loss:1.780475378036499                                         
step:208, loss:1.807517409324646                                         
step:209, loss:1.8252122402191162                                        
step:210, loss:1.8621796369552612                                      
step:211, loss:1.7441580295562744                                      
step:212, loss:1.7670577764511108                                      
step:213, loss:1.7898662090301514                                      
step:214, loss:1.8182153701782227                                      
step:215, loss:1.9245810508728027                                      
step:216, loss:1.905533790588379                                       
step:217, loss:1.803075909614563                                       
step:218, loss:1.839752197265625                                       
step:219, loss:1.8063669204711914                                      
step:220, loss:1.9200282096862793                                      
step:221, loss:1.9823222160339355                                      
step:222, loss:1.8020000457763672                                      
step:223, loss:1.8254120349884033                                      
step:224, loss:1.7587203979492188                                      
step:225, loss:1.7939263582229614                                      
step:226, loss:1.8082070350646973                                      
step:227, loss:1.8472931385040283                                      
step:228, loss:1.762062668800354                                       
step:229, loss:1.900150179862976                                       
step:230, loss:1.8386814594268799                                      
step:231, loss:1.8656641244888306                                      
step:232, loss:1.7465970516204834                                      
step:233, loss:1.8316924571990967                                      
step:234, loss:1.8954346179962158                                      
step:235, loss:1.7305597066879272                                      
step:236, loss:1.869484305381775                                       
step:237, loss:1.8966856002807617                                      
step:238, loss:1.7608604431152344                                      
step:239, loss:1.7817661762237549                                      
step:240, loss:1.8683624267578125                                      
step:241, loss:1.8644256591796875                                      
step:242, loss:1.8564180135726929                                      
step:243, loss:1.9379520416259766                                      
step:244, loss:1.8503615856170654                                      
step:245, loss:1.854217767715454                                       
step:246, loss:1.8427729606628418                                      
step:247, loss:1.9507148265838623                                      
step:248, loss:1.9755122661590576                                      
 25%|██▍       | 249/1000 [21:10<23:08,  1.85s/it, step=248, loss=1.98]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.46264276649746194
acc 0.2495241116751269
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.45706883789785346
acc 0.2457438934122872
average testing 0.45706883789785346
average training 0.46264276649746194
step:249, loss:1.8548918962478638                                      
step:250, loss:1.871217131614685                                          
step:251, loss:1.6676113605499268                                         
step:252, loss:1.9949250221252441                                        
step:253, loss:1.7850983142852783                                        
step:254, loss:1.7834827899932861                                        
step:255, loss:1.8569250106811523                                        
step:256, loss:1.8435580730438232                                        
step:257, loss:1.8610715866088867                                        
step:258, loss:1.8124425411224365                                        
step:259, loss:1.77237868309021                                          
step:260, loss:1.8542215824127197                                      
step:261, loss:1.8912780284881592                                      
step:262, loss:1.8586151599884033                                      
step:263, loss:1.9628634452819824                                      
step:264, loss:1.8959881067276                                         
step:265, loss:1.735036015510559                                       
step:266, loss:1.7857197523117065                                      
step:267, loss:1.8539959192276                                         
step:268, loss:1.8240318298339844                                      
step:269, loss:1.8081042766571045                                      
step:270, loss:1.8522104024887085                                      
step:271, loss:1.8853925466537476                                      
step:272, loss:1.9174067974090576                                      
step:273, loss:1.7622520923614502                                      
step:274, loss:1.7702076435089111                                      
step:275, loss:1.8539423942565918                                      
step:276, loss:1.7373226881027222                                      
step:277, loss:1.5271632671356201                                      
step:278, loss:1.7461799383163452                                      
step:279, loss:1.776265025138855                                       
step:280, loss:1.8321882486343384                                      
step:281, loss:1.718583583831787                                       
step:282, loss:1.726849913597107                                       
step:283, loss:1.8618019819259644                                      
step:284, loss:1.815253496170044                                       
step:285, loss:1.8858187198638916                                      
step:286, loss:1.6935102939605713                                      
step:287, loss:1.6555380821228027                                      
step:288, loss:1.761196494102478                                       
step:289, loss:1.8115317821502686                                      
step:290, loss:1.8756954669952393                                      
step:291, loss:1.8356034755706787                                      
step:292, loss:1.8528211116790771                                      
step:293, loss:1.8512355089187622                                      
step:294, loss:1.8320503234863281                                      
step:295, loss:1.7694289684295654                                      
step:296, loss:1.9073708057403564                                      
step:297, loss:1.7812823057174683                                      
step:298, loss:1.869620442390442                                       
 30%|██▉       | 299/1000 [26:03<21:39,  1.85s/it, step=298, loss=1.87]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.4931789340101523
acc 0.2823604060913706
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.4863064396743153
acc 0.27738712065136933
average testing 0.4863064396743153
average training 0.4931789340101523
step:299, loss:1.8692119121551514                                      
step:300, loss:1.8033056259155273                                         
step:301, loss:1.6873341798782349                                        
