/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:295, loss:2.978550910949707                                       
step:296, loss:2.9759678840637207                                      
step:297, loss:2.984917640686035                                       
step:298, loss:3.0383195877075195                                      
 30%|██▉       | 299/1000 [25:58<21:40,  1.86s/it, step=298, loss=3.04]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7183375642989492
acc 0.49151332487309646
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7276461839146476
acc 0.498519615099926
average testing 0.7276461839146476
average training 0.7183375642989492
step:299, loss:3.2597408294677734                                      
step:300, loss:3.3025476932525635                                         
step:301, loss:2.9814720153808594                                        
step:302, loss:3.0948657989501953                                        
step:303, loss:2.986504077911377                                         
step:304, loss:3.0864555835723877                                        
step:305, loss:2.998699188232422                                         
step:306, loss:3.0118300914764404                                        
step:307, loss:3.1307406425476074                                        
step:308, loss:3.0039336681365967                                        
step:309, loss:3.247612714767456                                       
step:310, loss:3.270941972732544                                       
step:311, loss:3.33176326751709                                        
step:312, loss:3.1153013706207275                                      
step:313, loss:3.133253574371338                                       
step:314, loss:3.3027307987213135                                      
step:315, loss:3.272773504257202                                       
step:316, loss:3.1030006408691406                                      
step:317, loss:3.2285308837890625                                      
step:318, loss:3.1595919132232666                                      
step:319, loss:2.9553115367889404                                      
step:320, loss:2.9508533477783203                                      
step:321, loss:2.850613594055176                                       
step:322, loss:3.090893507003784                                       
step:323, loss:2.9598660469055176                                      
step:324, loss:3.143277645111084                                       
step:325, loss:3.3648040294647217                                      
step:326, loss:3.013726234436035                                       
step:327, loss:3.0301270484924316                                      
step:328, loss:3.149467945098877                                       
step:329, loss:3.26177716255188                                        
step:330, loss:2.9913246631622314                                      
step:331, loss:2.9700260162353516                                      
step:332, loss:3.0135974884033203                                      
step:333, loss:2.971778392791748                                       
step:334, loss:3.1061806678771973                                      
step:335, loss:3.195449113845825                                       
step:336, loss:3.1318697929382324                                      
step:337, loss:3.124258518218994                                       
step:338, loss:2.8921608924865723                                      
step:339, loss:3.186924457550049                                       
step:340, loss:3.0734519958496094                                      
step:341, loss:3.261385440826416                                       
step:342, loss:3.208491802215576                                       
step:343, loss:3.453101396560669                                       
step:344, loss:3.162447452545166                                       
step:345, loss:3.2124955654144287                                      
step:346, loss:2.947176933288574                                       
step:347, loss:3.207076072692871                                       
step:348, loss:3.226810932159424                                       
 35%|███▍      | 349/1000 [30:51<19:50,  1.83s/it, step=348, loss=3.23]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7222081204961399
acc 0.39950824873096447
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.730940044411547
acc 0.40766099185788307
average testing 0.730940044411547
average training 0.7222081204961399
step:349, loss:3.0330922603607178                                      
step:350, loss:3.042363166809082                                          
step:351, loss:3.0544424057006836                                         
step:352, loss:2.985910654067993                                         
step:353, loss:3.0592737197875977                                        
step:354, loss:3.2796287536621094                                        
step:355, loss:2.934772491455078                                         
step:356, loss:3.1171138286590576                                        
step:357, loss:3.2651944160461426                                        
step:358, loss:3.3240246772766113                                        
step:359, loss:3.00675630569458                                        
step:360, loss:3.095285415649414                                       
step:361, loss:2.839644432067871                                       
step:362, loss:3.0111453533172607                                      
step:363, loss:3.0664777755737305                                      
step:364, loss:3.2220687866210938                                      
step:365, loss:3.068474054336548                                       
step:366, loss:3.245393753051758                                       
step:367, loss:3.2031595706939697                                      
step:368, loss:3.1392884254455566                                      
step:369, loss:2.862595558166504                                       
step:370, loss:3.1526122093200684                                      
step:371, loss:2.9779748916625977                                      
step:372, loss:3.089841604232788                                       
step:373, loss:3.2546567916870117                                      
step:374, loss:3.2797582149505615                                      
step:375, loss:3.0299644470214844                                      
step:376, loss:3.2548117637634277                                      
step:377, loss:3.0535616874694824                                      
step:378, loss:3.3487114906311035                                      
step:379, loss:2.862269878387451                                       
step:380, loss:3.025101900100708                                       
step:381, loss:2.765183687210083                                       
step:382, loss:3.0426220893859863                                      
step:383, loss:3.0909616947174072                                      
step:384, loss:3.1485676765441895                                      
step:385, loss:3.3200740814208984                                      
step:386, loss:2.8926730155944824                                      
step:387, loss:3.2652015686035156                                      
step:388, loss:3.1481199264526367                                      
step:389, loss:3.1254324913024902                                      
step:390, loss:3.3033573627471924                                      
step:391, loss:3.1737263202667236                                      
step:392, loss:3.3793299198150635                                      
step:393, loss:3.0416011810302734                                      
 39%|███▉      | 394/1000 [35:34<18:40,  1.85s/it, step=393, loss=3.04]step:394, avg_loss_per_epoch:3.121556574923133
step:394, loss:3.009077548980713                                       
step:395, loss:3.106959581375122                                       
step:396, loss:3.3552892208099365                                      
step:397, loss:3.170866012573242                                       
step:398, loss:3.0321431159973145                                      
 40%|███▉      | 399/1000 [35:43<18:13,  1.82s/it, step=398, loss=3.03]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7211770315460747
acc 0.48881662436548223
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7309030367655722
acc 0.49796447076239825
average testing 0.7309030367655722
average training 0.7211770315460747
step:399, loss:3.1815030574798584                                      
step:400, loss:3.1442317962646484                                         
step:401, loss:3.0721306800842285                                         
step:402, loss:3.257133960723877                                         
step:403, loss:2.9634809494018555                                        
step:404, loss:3.068549156188965                                         
step:405, loss:3.3494954109191895                                        
step:406, loss:3.0326602458953857                                        
step:407, loss:3.116377592086792                                         
step:408, loss:2.953561782836914                                         
step:409, loss:2.791564464569092                                       
step:410, loss:3.0036373138427734                                      
step:411, loss:2.8987679481506348                                     
step:412, loss:3.1248419284820557                                      
step:413, loss:2.9850921630859375                                      
step:414, loss:3.229804754257202                                       
step:415, loss:3.3858237266540527                                      
step:416, loss:3.210644245147705                                       
step:417, loss:3.0024919509887695                                      
step:418, loss:2.997983455657959                                    
step:419, loss:3.058366060256958                                       
step:420, loss:3.08078670501709                                        
step:421, loss:3.0295867919921875                                      
step:422, loss:3.014256238937378                                       
step:423, loss:2.8896665573120117                                      
step:424, loss:2.9169270992279053                                      
step:425, loss:3.0771121978759766                                      
step:426, loss:2.9576563835144043                                      
step:427, loss:3.206361770629883                                       
step:428, loss:3.014509677886963                                       
step:429, loss:3.202249526977539                                       
step:430, loss:3.1392951011657715                                      
step:431, loss:3.250211477279663                                       
step:432, loss:3.1043713092803955                                      
step:433, loss:3.2745492458343506                                      
step:434, loss:3.275148391723633                                       
step:435, loss:3.2575254440307617                                      
step:436, loss:3.2410945892333984                                      
step:437, loss:2.7976529598236084                                      
step:438, loss:2.9930100440979004                                      
step:439, loss:3.1776461601257324                                      
step:440, loss:3.2015490531921387                                      
step:441, loss:3.105551242828369                                       
step:442, loss:3.2273201942443848                                      
step:443, loss:3.2400782108306885                                      
step:444, loss:2.9449048042297363                                      
step:445, loss:2.8703670501708984                                      
